"gene_name","transcript_name","transcript_id","gene_id","transcript_support_level","Prediction","OTHER","SP","mTP","CS.Position"
"SLC25A35","SLC25A35-203","ENST00000579192","ENSG00000125434",1,"SP",0.221798,0.770947,0.007255,"CS pos: 17-18. VFT-NP. Pr: 0.6400"
"SLC25A35","SLC25A35-205","ENST00000580340","ENSG00000125434",1,"SP",0.221798,0.770947,0.007255,"CS pos: 17-18. VFT-NP. Pr: 0.6400"
"SLC8B1","SLC8B1-202","ENST00000546737","ENSG00000089060",1,"SP",0.241213,0.757402,0.001385,"CS pos: 26-27. VSG-TR. Pr: 0.7718"
"SLC8B1","SLC8B1-213","ENST00000552014","ENSG00000089060",1,"SP",0.19288,0.805554,0.001567,"CS pos: 26-27. VSG-TR. Pr: 0.7718"
"SMIM20","SMIM20-201","ENST00000506197","ENSG00000250317",1,"SP",0.19506,0.769871,0.035069,"CS pos: 20-21. IGA-AF. Pr: 0.6258"
"SPATA19","SPATA19-201","ENST00000299140","ENSG00000166118",1,"SP",0.459441,0.516844,0.023715,"CS pos: 17-18. GVG-LP. Pr: 0.7791"
"TIMM21","TIMM21-203","ENST00000579071","ENSG00000075336",2,"SP",0.364656,0.534775,0.100569,"CS pos: 13-14. TGG-LF. Pr: 0.3106"
"TMEM205","TMEM205-204","ENST00000586218","ENSG00000105518",2,"SP",0.332807,0.655921,0.011271,"CS pos: 18-19. AWA-QL. Pr: 0.6044"
"TOMM7","TOMM7-203","ENST00000405021","ENSG00000196683",2,"SP",0.000156,0.999843,0,"CS pos: 19-20. MKG-LD. Pr: 0.7645"
"TSPO","TSPO-206","ENST00000583777","ENSG00000100300",1,"SP",0.248814,0.698593,0.052593,"CS pos: 16-17. AAA-AT. Pr: 0.3533"
"TXNRD2","TXNRD2-212","ENST00000485358","ENSG00000184470",2,"SP",0.02432,0.97412,0.00156,"CS pos: 19-20. SEG-RP. Pr: 0.9413"
"UQCC3","UQCC3-201","ENST00000377953","ENSG00000204922",1,"SP",0.298851,0.694288,0.006861,"CS pos: 23-24. GYA-LL. Pr: 0.8045"
"USP30","USP30-203","ENST00000392784","ENSG00000135093",2,"SP",0.475112,0.519181,0.005707,"CS pos: 17-18. AAG-IY. Pr: 0.6066"
