GeneSymbol,gene_id,transcript_id,MTS_status,Type,Start,Stop,ClinicalSignificance,,PhenotypeList
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210573407,210573407,Likely pathogenic,,"Congenital hyperammonemia, type I;Pulmonary hypertension, neonatal, susceptibility to"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210573301,210573301,Pathogenic,,"Congenital hyperammonemia, type I|Pulmonary hypertension, neonatal, susceptibility to"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210573338,210573338,Conflicting classifications of pathogenicity,,"Congenital hyperammonemia, type I|not specified|not provided|Inborn genetic diseases"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210573357,210573357,Conflicting classifications of pathogenicity,,"Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210573366,210573366,Benign/Likely benign,,"Congenital hyperammonemia, type I|not specified|not provided"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210573405,210573405,Conflicting classifications of pathogenicity,,"Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210573325,210573325,Conflicting classifications of pathogenicity,,"Congenital hyperammonemia, type I|not provided|Inborn genetic diseases"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210573320,210573320,Likely pathogenic,,"Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210573407,210573407,Likely pathogenic,,"Congenital hyperammonemia, type I;Pulmonary hypertension, neonatal, susceptibility to"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210576383,210576383,Likely pathogenic,,"Pulmonary hypertension, neonatal, susceptibility to"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210576449,210576449,Likely pathogenic,,"Pulmonary hypertension, neonatal, susceptibility to"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210576405,210576405,Likely pathogenic,,"Congenital hyperammonemia, type I|Pulmonary hypertension, neonatal, susceptibility to"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210576383,210576383,Likely pathogenic,,"Pulmonary hypertension, neonatal, susceptibility to"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210576449,210576449,Likely pathogenic,,"Pulmonary hypertension, neonatal, susceptibility to"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210576405,210576405,Likely pathogenic,,"Congenital hyperammonemia, type I|Pulmonary hypertension, neonatal, susceptibility to"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210577488,210577488,Conflicting classifications of pathogenicity,,"Congenital hyperammonemia, type I|not provided|Inborn genetic diseases|CPS1-related disorder"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210577459,210577459,Pathogenic/Likely pathogenic,,"Congenital hyperammonemia, type I|Pulmonary hypertension, neonatal, susceptibility to"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210577499,210577499,Likely pathogenic,,"Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210577494,210577494,Likely pathogenic,,"Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210577488,210577488,Conflicting classifications of pathogenicity,,"Congenital hyperammonemia, type I|not provided|Inborn genetic diseases|CPS1-related disorder"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210577459,210577459,Pathogenic/Likely pathogenic,,"Congenital hyperammonemia, type I|Pulmonary hypertension, neonatal, susceptibility to"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210577499,210577499,Likely pathogenic,,"Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210577494,210577494,Likely pathogenic,,"Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210579728,210579728,Benign/Likely benign,,"Congenital hyperammonemia, type I|not specified|not provided"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210579729,210579729,Pathogenic/Likely pathogenic,,"not provided|Congenital hyperammonemia, type I|Pulmonary hypertension, neonatal, susceptibility to"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210579762,210579762,Conflicting classifications of pathogenicity,,"Congenital hyperammonemia, type I|Pulmonary hypertension, neonatal, susceptibility to"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210579728,210579728,Likely pathogenic,,"Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210579723,210579723,Conflicting classifications of pathogenicity,,"Inborn genetic diseases|Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210579728,210579728,Benign/Likely benign,,"Congenital hyperammonemia, type I|not specified|not provided"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210579729,210579729,Pathogenic/Likely pathogenic,,"not provided|Congenital hyperammonemia, type I|Pulmonary hypertension, neonatal, susceptibility to"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210579762,210579762,Conflicting classifications of pathogenicity,,"Congenital hyperammonemia, type I|Pulmonary hypertension, neonatal, susceptibility to"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210579728,210579728,Likely pathogenic,,"Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210579723,210579723,Conflicting classifications of pathogenicity,,"Inborn genetic diseases|Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210588073,210588073,Conflicting classifications of pathogenicity,,"Congenital hyperammonemia, type I|not provided|CPS1-related disorder"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210588133,210588133,Conflicting classifications of pathogenicity,,"Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210588072,210588072,Pathogenic,,"Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210588073,210588073,Conflicting classifications of pathogenicity,,"Congenital hyperammonemia, type I|not provided|CPS1-related disorder"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210588133,210588133,Conflicting classifications of pathogenicity,,"Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210588072,210588072,Pathogenic,,"Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210590234,210590234,Likely pathogenic,,"Congenital hyperammonemia, type I|Pulmonary hypertension, neonatal, susceptibility to"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210590177,210590177,Conflicting classifications of pathogenicity,,"not specified|Congenital hyperammonemia, type I|CPS1-related disorder|not provided"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210590106,210590106,Pathogenic/Likely pathogenic,,"Congenital hyperammonemia, type I|Pulmonary hypertension, neonatal, susceptibility to;Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210590157,210590157,Likely pathogenic,,"Congenital hyperammonemia, type I|Congenital hyperammonemia, type I;Pulmonary hypertension, neonatal, susceptibility to"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210590123,210590123,Conflicting classifications of pathogenicity,,"Congenital hyperammonemia, type I|Inborn genetic diseases"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210590148,210590148,Conflicting classifications of pathogenicity,,"Inborn genetic diseases|Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210590188,210590188,Conflicting classifications of pathogenicity,,"Congenital hyperammonemia, type I|Pulmonary hypertension, neonatal, susceptibility to"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210590234,210590234,Likely pathogenic,,"Congenital hyperammonemia, type I|Pulmonary hypertension, neonatal, susceptibility to"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210590177,210590177,Conflicting classifications of pathogenicity,,"not specified|Congenital hyperammonemia, type I|CPS1-related disorder|not provided"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210590106,210590106,Pathogenic/Likely pathogenic,,"Congenital hyperammonemia, type I|Pulmonary hypertension, neonatal, susceptibility to;Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210590157,210590157,Likely pathogenic,,"Congenital hyperammonemia, type I|Congenital hyperammonemia, type I;Pulmonary hypertension, neonatal, susceptibility to"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210590123,210590123,Conflicting classifications of pathogenicity,,"Congenital hyperammonemia, type I|Inborn genetic diseases"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210590148,210590148,Conflicting classifications of pathogenicity,,"Inborn genetic diseases|Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210590188,210590188,Conflicting classifications of pathogenicity,,"Congenital hyperammonemia, type I|Pulmonary hypertension, neonatal, susceptibility to"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210590896,210590896,Conflicting classifications of pathogenicity,,"not provided|Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210590861,210590861,Conflicting classifications of pathogenicity,,"Congenital hyperammonemia, type I|Pulmonary hypertension, neonatal, susceptibility to"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210590886,210590886,Pathogenic,,"Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210590905,210590905,Pathogenic,,"Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210590896,210590896,Conflicting classifications of pathogenicity,,"not provided|Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210590861,210590861,Conflicting classifications of pathogenicity,,"Congenital hyperammonemia, type I|Pulmonary hypertension, neonatal, susceptibility to"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210590886,210590886,Pathogenic,,"Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210590905,210590905,Pathogenic,,"Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210591893,210591893,Pathogenic,,"Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210591904,210591904,Conflicting classifications of pathogenicity,,"Congenital hyperammonemia, type I|not provided|Inborn genetic diseases|Pulmonary hypertension, neonatal, susceptibility to;Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210591946,210591946,Conflicting classifications of pathogenicity,,"Congenital hyperammonemia, type I|CPS1-related disorder|not specified|Congenital hyperammonemia, type I;Pulmonary hypertension, neonatal, susceptibility to"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210591886,210591886,Pathogenic,,"Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210591922,210591922,Conflicting classifications of pathogenicity,,"Congenital hyperammonemia, type I|not provided"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210591865,210591865,Pathogenic,,"Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210591835,210591835,Pathogenic,,"Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210591841,210591841,Pathogenic,,"Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210591893,210591893,Pathogenic,,"Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210591904,210591904,Conflicting classifications of pathogenicity,,"Congenital hyperammonemia, type I|not provided|Inborn genetic diseases|Pulmonary hypertension, neonatal, susceptibility to;Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210591946,210591946,Conflicting classifications of pathogenicity,,"Congenital hyperammonemia, type I|CPS1-related disorder|not specified|Congenital hyperammonemia, type I;Pulmonary hypertension, neonatal, susceptibility to"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210591886,210591886,Pathogenic,,"Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210591922,210591922,Conflicting classifications of pathogenicity,,"Congenital hyperammonemia, type I|not provided"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210591865,210591865,Pathogenic,,"Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210591835,210591835,Pathogenic,,"Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210591841,210591841,Pathogenic,,"Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210592908,210592908,Conflicting classifications of pathogenicity,,"not specified|Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210592937,210592937,Likely pathogenic,,"Congenital hyperammonemia, type I|Pulmonary hypertension, neonatal, susceptibility to|Congenital hyperammonemia, type I;Pulmonary hypertension, neonatal, susceptibility to"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210592946,210592946,Conflicting classifications of pathogenicity,,"Congenital hyperammonemia, type I|Pulmonary hypertension, neonatal, susceptibility to;Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000233072.10,MTS_positive,single nucleotide variant,210592915,210592915,Pathogenic,,"Pulmonary hypertension, neonatal, susceptibility to"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210592908,210592908,Conflicting classifications of pathogenicity,,"not specified|Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210592937,210592937,Likely pathogenic,,"Congenital hyperammonemia, type I|Pulmonary hypertension, neonatal, susceptibility to|Congenital hyperammonemia, type I;Pulmonary hypertension, neonatal, susceptibility to"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210592946,210592946,Conflicting classifications of pathogenicity,,"Congenital hyperammonemia, type I|Pulmonary hypertension, neonatal, susceptibility to;Congenital hyperammonemia, type I"
CPS1,ENSG00000021826.18,ENST00000430249.7,MTS_positive,single nucleotide variant,210592915,210592915,Pathogenic,,"Pulmonary hypertension, neonatal, susceptibility to"
NDUFS1,ENSG00000023228.15,ENST00000233190.11,MTS_positive,single nucleotide variant,206123786,206123786,Benign/Likely benign,,"Mitochondrial complex I deficiency, nuclear type 1|Leigh syndrome|not provided"
NDUFS1,ENSG00000023228.15,ENST00000233190.11,MTS_positive,single nucleotide variant,206123611,206123611,Benign/Likely benign,,"Mitochondrial complex I deficiency, nuclear type 1|Leigh syndrome|not provided"
NDUFS1,ENSG00000023228.15,ENST00000233190.11,MTS_positive,single nucleotide variant,206123759,206123759,Conflicting classifications of pathogenicity,,"Leigh syndrome|Mitochondrial complex I deficiency, nuclear type 1|not provided"
NDUFS1,ENSG00000023228.15,ENST00000233190.11,MTS_positive,single nucleotide variant,206152449,206152449,Benign/Likely benign,,"not specified|Leigh syndrome|Mitochondrial complex I deficiency, nuclear type 1|not provided"
NDUFS1,ENSG00000023228.15,ENST00000233190.11,MTS_positive,single nucleotide variant,206152508,206152508,Pathogenic,,"Mitochondrial complex I deficiency, nuclear type 1|Mitochondrial complex 1 deficiency, nuclear type 5|not provided"
NDUFS1,ENSG00000023228.15,ENST00000233190.11,MTS_positive,single nucleotide variant,206152509,206152509,Conflicting classifications of pathogenicity,,"Leigh syndrome|Mitochondrial complex I deficiency, nuclear type 1|not provided"
NDUFS1,ENSG00000023228.15,ENST00000440274.5,MTS_positive,single nucleotide variant,206152449,206152449,Benign/Likely benign,,"not specified|Leigh syndrome|Mitochondrial complex I deficiency, nuclear type 1|not provided"
NDUFS1,ENSG00000023228.15,ENST00000440274.5,MTS_positive,single nucleotide variant,206152508,206152508,Pathogenic,,"Mitochondrial complex I deficiency, nuclear type 1|Mitochondrial complex 1 deficiency, nuclear type 5|not provided"
NDUFS1,ENSG00000023228.15,ENST00000440274.5,MTS_positive,single nucleotide variant,206152509,206152509,Conflicting classifications of pathogenicity,,"Leigh syndrome|Mitochondrial complex I deficiency, nuclear type 1|not provided"
NDUFS1,ENSG00000023228.15,ENST00000449699.5,MTS_positive,single nucleotide variant,206152449,206152449,Benign/Likely benign,,"not specified|Leigh syndrome|Mitochondrial complex I deficiency, nuclear type 1|not provided"
NDUFS1,ENSG00000023228.15,ENST00000449699.5,MTS_positive,single nucleotide variant,206152508,206152508,Pathogenic,,"Mitochondrial complex I deficiency, nuclear type 1|Mitochondrial complex 1 deficiency, nuclear type 5|not provided"
NDUFS1,ENSG00000023228.15,ENST00000449699.5,MTS_positive,single nucleotide variant,206152509,206152509,Conflicting classifications of pathogenicity,,"Leigh syndrome|Mitochondrial complex I deficiency, nuclear type 1|not provided"
UNG,ENSG00000076248.12,ENST00000242576.7,MTS_negative,single nucleotide variant,109097760,109097760,Conflicting classifications of pathogenicity,,Hyper-IgM syndrome type 5
UNG,ENSG00000076248.12,ENST00000242576.7,MTS_negative,single nucleotide variant,109097715,109097715,Conflicting classifications of pathogenicity,,Hyper-IgM syndrome type 5
UNG,ENSG00000076248.12,ENST00000336865.6,MTS_positive,single nucleotide variant,109098430,109098430,Likely pathogenic,,Hyper-IgM syndrome type 5
SARDH,ENSG00000123453.19,ENST00000371872.8,MTS_positive,single nucleotide variant,133704962,133704962,Affects,,Sarcosine dehydrogenase deficiency
SARDH,ENSG00000123453.19,ENST00000427237.6,MTS_positive,single nucleotide variant,133704962,133704962,Affects,,Sarcosine dehydrogenase deficiency
SARDH,ENSG00000123453.19,ENST00000439388.6,MTS_positive,single nucleotide variant,133704962,133704962,Affects,,Sarcosine dehydrogenase deficiency
SARDH,ENSG00000123453.19,ENST00000371872.8,MTS_positive,single nucleotide variant,133712648,133712648,Benign/Likely benign,,not provided|Sarcosine dehydrogenase deficiency
SARDH,ENSG00000123453.19,ENST00000427237.6,MTS_positive,single nucleotide variant,133712648,133712648,Benign/Likely benign,,not provided|Sarcosine dehydrogenase deficiency
SARDH,ENSG00000123453.19,ENST00000439388.6,MTS_positive,single nucleotide variant,133712648,133712648,Benign/Likely benign,,not provided|Sarcosine dehydrogenase deficiency
ABL1,ENSG00000123453.19,ENST00000439388.6,MTS_positive,single nucleotide variant,133738307,133738307,Pathogenic,,"Leukemia, Philadelphia chromosome-positive, resistant to imatinib"
ABL1,ENSG00000123453.19,ENST00000439388.6,MTS_positive,single nucleotide variant,133738306,133738306,Pathogenic,,"Leukemia, Philadelphia chromosome-positive, resistant to imatinib"
ABL1,ENSG00000123453.19,ENST00000439388.6,MTS_positive,single nucleotide variant,133738340,133738340,Benign/Likely benign,,not specified|not provided|ABL1-related disorder
ABL1,ENSG00000123453.19,ENST00000439388.6,MTS_positive,single nucleotide variant,133738277,133738277,Pathogenic/Likely pathogenic,,Congenital heart defects and skeletal malformations syndrome|Congenital heart disease;Abnormal skeletal morphology;Failure to thrive|not provided
ABL1,ENSG00000123453.19,ENST00000439388.6,MTS_positive,single nucleotide variant,133738289,133738289,Likely pathogenic,,Congenital heart defects and skeletal malformations syndrome|not provided
ABL1,ENSG00000123453.19,ENST00000427237.6,MTS_positive,single nucleotide variant,133738307,133738307,Pathogenic,,"Leukemia, Philadelphia chromosome-positive, resistant to imatinib"
ABL1,ENSG00000123453.19,ENST00000427237.6,MTS_positive,single nucleotide variant,133738306,133738306,Pathogenic,,"Leukemia, Philadelphia chromosome-positive, resistant to imatinib"
ABL1,ENSG00000123453.19,ENST00000427237.6,MTS_positive,single nucleotide variant,133738340,133738340,Benign/Likely benign,,not specified|not provided|ABL1-related disorder
ABL1,ENSG00000123453.19,ENST00000427237.6,MTS_positive,single nucleotide variant,133738277,133738277,Pathogenic/Likely pathogenic,,Congenital heart defects and skeletal malformations syndrome|Congenital heart disease;Abnormal skeletal morphology;Failure to thrive|not provided
ABL1,ENSG00000123453.19,ENST00000427237.6,MTS_positive,single nucleotide variant,133738289,133738289,Likely pathogenic,,Congenital heart defects and skeletal malformations syndrome|not provided
MTO1,ENSG00000135297.17,ENST00000415954.6,MTS_positive,single nucleotide variant,73462030,73462030,Conflicting classifications of pathogenicity,,Mitochondrial hypertrophic cardiomyopathy with lactic acidosis due to MTO1 deficiency|not provided
MTO1,ENSG00000135297.17,ENST00000415954.6,MTS_positive,single nucleotide variant,73461892,73461892,Conflicting classifications of pathogenicity,,Mitochondrial hypertrophic cardiomyopathy with lactic acidosis due to MTO1 deficiency|Inborn genetic diseases
MTO1,ENSG00000135297.17,ENST00000498286.6,MTS_positive,single nucleotide variant,73462030,73462030,Conflicting classifications of pathogenicity,,Mitochondrial hypertrophic cardiomyopathy with lactic acidosis due to MTO1 deficiency|not provided
MTO1,ENSG00000135297.17,ENST00000498286.6,MTS_positive,single nucleotide variant,73461892,73461892,Conflicting classifications of pathogenicity,,Mitochondrial hypertrophic cardiomyopathy with lactic acidosis due to MTO1 deficiency|Inborn genetic diseases
MTO1,ENSG00000135297.17,ENST00000370300.8,MTS_positive,single nucleotide variant,73462030,73462030,Conflicting classifications of pathogenicity,,Mitochondrial hypertrophic cardiomyopathy with lactic acidosis due to MTO1 deficiency|not provided
MTO1,ENSG00000135297.17,ENST00000370300.8,MTS_positive,single nucleotide variant,73461892,73461892,Conflicting classifications of pathogenicity,,Mitochondrial hypertrophic cardiomyopathy with lactic acidosis due to MTO1 deficiency|Inborn genetic diseases
CYP11A1,ENSG00000140459.18,ENST00000358632.8,MTS_negative,single nucleotide variant,74365857,74365857,association,,"Pulmonary disease, chronic obstructive, susceptibility to"
