"gene_id","transcript_id","chr","start","stop","Start","Stop","Type","GeneSymbol","ClinicalSignificance","PhenotypeList"
"ENSG00000100033","ENST00000357068","22",18936015,18936293,18936113,18936113,"single nucleotide variant","PRODH","Pathogenic/Likely pathogenic","Proline dehydrogenase deficiency|Schizophrenia 4;Proline dehydrogenase deficiency"
"ENSG00000100033","ENST00000357068","22",18936015,18936293,18936287,18936287,"single nucleotide variant","PRODH","Likely pathogenic","Schizophrenia 4;Proline dehydrogenase deficiency"
"ENSG00000108439","ENST00000225573","17",47945559,47945612,47945594,47945594,"single nucleotide variant","PNPO","Pathogenic/Likely pathogenic","not provided|Inborn genetic diseases|Pyridoxal phosphate-responsive seizures"
"ENSG00000108439","ENST00000225573","17",47945559,47945612,47945608,47945608,"single nucleotide variant","PNPO","Conflicting classifications of pathogenicity","Pyridoxal phosphate-responsive seizures|not provided"
"ENSG00000108439","ENST00000225573","17",47945559,47945612,47945607,47945607,"single nucleotide variant","PNPO","Pathogenic","Pyridoxal phosphate-responsive seizures"
"ENSG00000108439","ENST00000434554","17",47945861,47945989,47945963,47945963,"single nucleotide variant","PNPO","Pathogenic","Pyridoxal phosphate-responsive seizures"
"ENSG00000108439","ENST00000434554","17",47945861,47945989,47945943,47945943,"single nucleotide variant","PNPO","Conflicting classifications of pathogenicity","PNPO-related disorder|Inborn genetic diseases|Pyridoxal phosphate-responsive seizures|not provided"
"ENSG00000108439","ENST00000434554","17",47945861,47945989,47945924,47945924,"single nucleotide variant","PNPO","Pathogenic/Likely pathogenic","not provided|Pyridoxal phosphate-responsive seizures"
"ENSG00000108439","ENST00000434554","17",47945861,47945989,47945987,47945987,"single nucleotide variant","PNPO","Conflicting classifications of pathogenicity","not provided|Pyridoxal phosphate-responsive seizures"
"ENSG00000108439","ENST00000434554","17",47945861,47945989,47945925,47945925,"single nucleotide variant","PNPO","Conflicting classifications of pathogenicity","Pyridoxal phosphate-responsive seizures|not provided"
"ENSG00000108439","ENST00000434554","17",47945861,47945989,47945864,47945864,"single nucleotide variant","PNPO","Conflicting classifications of pathogenicity","Pyridoxal phosphate-responsive seizures|not specified"
"ENSG00000108439","ENST00000434554","17",47945861,47945989,47945924,47945924,"single nucleotide variant","PNPO","Likely pathogenic","Pyridoxal phosphate-responsive seizures"
"ENSG00000114956","ENST00000264093","2",73938910,73939022,73938953,73938953,"single nucleotide variant","DGUOK","Pathogenic","Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 4"
"ENSG00000114956","ENST00000264093","2",73938910,73939022,73938962,73938962,"single nucleotide variant","DGUOK","Pathogenic","not provided|Portal hypertension, noncirrhotic, 1;Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 4;Mitochondrial DNA depletion syndrome 3 (hepatocerebral type)"
"ENSG00000114956","ENST00000264093","2",73938910,73939022,73938922,73938922,"single nucleotide variant","DGUOK","Conflicting classifications of pathogenicity","Mitochondrial DNA depletion syndrome 3 (hepatocerebral type)|not specified"
"ENSG00000114956","ENST00000264093","2",73938910,73939022,73938966,73938966,"single nucleotide variant","DGUOK","Conflicting classifications of pathogenicity","not provided|DGUOK-related disorder"
"ENSG00000114956","ENST00000264093","2",73938910,73939022,73939002,73939002,"single nucleotide variant","DGUOK","Pathogenic","not provided|Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 4;Mitochondrial DNA depletion syndrome 3 (hepatocerebral type);Portal hypertension, noncirrhotic, 1"
"ENSG00000114956","ENST00000264093","2",73938910,73939022,73938940,73938940,"single nucleotide variant","DGUOK","Likely pathogenic","Mitochondrial DNA depletion syndrome 3 (hepatocerebral type)"
"ENSG00000115419","ENST00000320717","2",190953565,190953626,190953623,190953623,"single nucleotide variant","GLS","Likely pathogenic","Inborn genetic diseases"
"ENSG00000115419","ENST00000320717","2",190962830,190965552,190962916,190962916,"single nucleotide variant","GLS","Likely pathogenic","Tracheoesophageal fistula"
"ENSG00000116288","ENST00000338639","1",7969345,7969404,7969386,7969386,"single nucleotide variant","PARK7","Benign/Likely benign","Parkinson Disease, Recessive|not specified|Autosomal recessive early-onset Parkinson disease 7|not provided"
"ENSG00000119723","ENST00000334571","14",73950302,73950495,73950342,73950342,"single nucleotide variant","COQ6","Likely pathogenic","Familial steroid-resistant nephrotic syndrome with sensorineural deafness"
"ENSG00000123453","ENST00000439388","9",133704948,133705031,133704962,133704962,"single nucleotide variant","SARDH","Affects","Sarcosine dehydrogenase deficiency"
"ENSG00000123453","ENST00000439388","9",133712619,133712709,133712648,133712648,"single nucleotide variant","SARDH","Benign/Likely benign","not provided|Sarcosine dehydrogenase deficiency"
"ENSG00000123453","ENST00000439388","9",133729765,133729865,133729820,133729820,"single nucleotide variant","SARDH","Affects","Sarcosine dehydrogenase deficiency"
"ENSG00000123453","ENST00000439388","9",133733843,133734203,133733963,133733963,"single nucleotide variant","SARDH","Affects","Sarcosine dehydrogenase deficiency"
"ENSG00000123453","ENST00000439388","9",133738254,133738352,133738307,133738307,"single nucleotide variant","ABL1","Pathogenic","Leukemia, Philadelphia chromosome-positive, resistant to imatinib"
"ENSG00000123453","ENST00000439388","9",133738254,133738352,133738306,133738306,"single nucleotide variant","ABL1","Pathogenic","Leukemia, Philadelphia chromosome-positive, resistant to imatinib"
"ENSG00000123453","ENST00000439388","9",133738254,133738352,133738340,133738340,"single nucleotide variant","ABL1","Benign/Likely benign","not specified|not provided|ABL1-related disorder"
"ENSG00000123453","ENST00000439388","9",133738254,133738352,133738277,133738277,"single nucleotide variant","ABL1","Pathogenic/Likely pathogenic","Congenital heart defects and skeletal malformations syndrome|Congenital heart disease;Abnormal skeletal morphology;Failure to thrive|not provided"
"ENSG00000123453","ENST00000439388","9",133738254,133738352,133738289,133738289,"single nucleotide variant","ABL1","Likely pathogenic","Congenital heart defects and skeletal malformations syndrome|not provided"
"ENSG00000123815","ENST00000324464","19",40705325,40705447,40705434,40705434,"single nucleotide variant","COQ8B","Benign/Likely benign","not specified|not provided"
"ENSG00000123815","ENST00000324464","19",40705325,40705447,40705376,40705376,"single nucleotide variant","COQ8B","Likely pathogenic","Nephrotic syndrome, type 9"
"ENSG00000124615","ENST00000373188","6",39909040,39909102,39909055,39909055,"single nucleotide variant","MOCS1","Conflicting classifications of pathogenicity","Sulfite oxidase deficiency due to molybdenum cofactor deficiency type A"
"ENSG00000124615","ENST00000373188","6",39909040,39909102,39909079,39909079,"single nucleotide variant","MOCS1","Likely pathogenic","Sulfite oxidase deficiency due to molybdenum cofactor deficiency type A"
"ENSG00000124615","ENST00000373188","6",39909040,39909102,39909054,39909054,"single nucleotide variant","MOCS1","Pathogenic/Likely pathogenic","Sulfite oxidase deficiency due to molybdenum cofactor deficiency type A"
"ENSG00000124615","ENST00000373188","6",39909040,39909102,39909055,39909055,"single nucleotide variant","MOCS1","Pathogenic","Sulfite oxidase deficiency due to molybdenum cofactor deficiency type A"
"ENSG00000124615","ENST00000373188","6",39927329,39927455,39927362,39927362,"single nucleotide variant","MOCS1","Conflicting classifications of pathogenicity","Sulfite oxidase deficiency due to molybdenum cofactor deficiency type A|Inborn genetic diseases"
"ENSG00000124615","ENST00000373188","6",39927329,39927455,39927417,39927417,"single nucleotide variant","MOCS1","Conflicting classifications of pathogenicity","Sulfite oxidase deficiency due to molybdenum cofactor deficiency type A"
"ENSG00000124615","ENST00000373188","6",39927329,39927455,39927437,39927437,"single nucleotide variant","MOCS1","Pathogenic","Sulfite oxidase deficiency due to molybdenum cofactor deficiency type A"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45553777,45553777,"single nucleotide variant","OPA3","Pathogenic","Optic atrophy 3"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45553741,45553741,"single nucleotide variant","OPA3","Pathogenic","3-Methylglutaconic aciduria type 3;Optic atrophy 3|Optic atrophy 3|not provided"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45553639,45553639,"single nucleotide variant","OPA3","Likely pathogenic","3-Methylglutaconic aciduria type 3"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45553514,45553514,"single nucleotide variant","OPA3","Conflicting classifications of pathogenicity","not provided|Optic atrophy 3;3-Methylglutaconic aciduria type 3"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45553522,45553522,"single nucleotide variant","OPA3","Conflicting classifications of pathogenicity","not specified|3-Methylglutaconic aciduria type 3;Optic atrophy 3"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45553546,45553546,"single nucleotide variant","OPA3","Conflicting classifications of pathogenicity","not specified|3-Methylglutaconic aciduria type 3;Optic atrophy 3"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45553819,45553819,"single nucleotide variant","OPA3","Likely pathogenic","Optic atrophy 3"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45553642,45553642,"single nucleotide variant","OPA3","Benign/Likely benign","Optic atrophy 3|3-Methylglutaconic aciduria type 3|not specified|Optic atrophy 3;3-Methylglutaconic aciduria type 3|not provided"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45546333,45546333,"single nucleotide variant","OPA3","Conflicting classifications of pathogenicity","Optic atrophy 3|3-Methylglutaconic aciduria type 3"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45547731,45547731,"single nucleotide variant","OPA3","Conflicting classifications of pathogenicity","Optic atrophy 3|3-Methylglutaconic aciduria type 3"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45548560,45548560,"single nucleotide variant","OPA3","Conflicting classifications of pathogenicity","Optic atrophy 3|not provided|3-Methylglutaconic aciduria type 3"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45548565,45548565,"single nucleotide variant","OPA3","Conflicting classifications of pathogenicity","Optic atrophy 3|3-Methylglutaconic aciduria type 3"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45550292,45550292,"single nucleotide variant","OPA3","Benign/Likely benign","3-Methylglutaconic aciduria type 3|Optic atrophy 3|not provided"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45551678,45551678,"single nucleotide variant","OPA3","Conflicting classifications of pathogenicity","Optic atrophy 3|3-Methylglutaconic aciduria type 3|not provided"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45552174,45552174,"single nucleotide variant","OPA3","Benign/Likely benign","3-Methylglutaconic aciduria type 3|Optic atrophy 3|not provided"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45547570,45547570,"single nucleotide variant","OPA3","Conflicting classifications of pathogenicity","3-Methylglutaconic aciduria type 3|Optic atrophy 3"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45547609,45547609,"single nucleotide variant","OPA3","Benign/Likely benign","Optic atrophy 3|not provided|3-Methylglutaconic aciduria type 3"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45548720,45548720,"single nucleotide variant","OPA3","Benign/Likely benign","3-Methylglutaconic aciduria type 3|Optic atrophy 3|not provided"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45551413,45551413,"single nucleotide variant","OPA3","Conflicting classifications of pathogenicity","Optic atrophy 3|3-Methylglutaconic aciduria type 3|not provided"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45546429,45546429,"single nucleotide variant","OPA3","Benign/Likely benign","3-Methylglutaconic aciduria type 3|Optic atrophy 3|not provided"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45546826,45546826,"single nucleotide variant","OPA3","Conflicting classifications of pathogenicity","Optic atrophy 3|3-Methylglutaconic aciduria type 3"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45547120,45547120,"single nucleotide variant","OPA3","Benign/Likely benign","3-Methylglutaconic aciduria type 3|Optic atrophy 3|not provided"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45547220,45547220,"single nucleotide variant","OPA3","Benign/Likely benign","Optic atrophy 3|3-Methylglutaconic aciduria type 3|not provided"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45550154,45550154,"single nucleotide variant","OPA3","Conflicting classifications of pathogenicity","3-Methylglutaconic aciduria type 3|Optic atrophy 3|not provided"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45550397,45550397,"single nucleotide variant","OPA3","Conflicting classifications of pathogenicity","Optic atrophy 3|3-Methylglutaconic aciduria type 3"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45550996,45550996,"single nucleotide variant","OPA3","Conflicting classifications of pathogenicity","3-Methylglutaconic aciduria type 3|Optic atrophy 3"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45551659,45551659,"single nucleotide variant","OPA3","Benign/Likely benign","Optic atrophy 3|3-Methylglutaconic aciduria type 3|not provided"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45551872,45551872,"single nucleotide variant","OPA3","Conflicting classifications of pathogenicity","3-Methylglutaconic aciduria type 3|Optic atrophy 3|not provided"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45553092,45553092,"single nucleotide variant","OPA3","Conflicting classifications of pathogenicity","3-Methylglutaconic aciduria type 3|Optic atrophy 3"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45553152,45553152,"single nucleotide variant","OPA3","Benign/Likely benign","Optic atrophy 3|not provided|3-Methylglutaconic aciduria type 3"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45546499,45546499,"single nucleotide variant","OPA3","Benign/Likely benign","Optic atrophy 3|3-Methylglutaconic aciduria type 3|not provided"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45546747,45546747,"single nucleotide variant","OPA3","Conflicting classifications of pathogenicity","Optic atrophy 3|3-Methylglutaconic aciduria type 3"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45547072,45547072,"single nucleotide variant","OPA3","Conflicting classifications of pathogenicity","3-Methylglutaconic aciduria type 3|Optic atrophy 3|not provided"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45547225,45547225,"single nucleotide variant","OPA3","Conflicting classifications of pathogenicity","Optic atrophy 3|3-Methylglutaconic aciduria type 3|not provided"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45547239,45547239,"single nucleotide variant","OPA3","Benign/Likely benign","3-Methylglutaconic aciduria type 3|Optic atrophy 3|not provided"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45547306,45547306,"single nucleotide variant","OPA3","Conflicting classifications of pathogenicity","Optic atrophy 3|3-Methylglutaconic aciduria type 3|not provided"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45549075,45549075,"single nucleotide variant","OPA3","Conflicting classifications of pathogenicity","3-Methylglutaconic aciduria type 3|Optic atrophy 3"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45549630,45549630,"single nucleotide variant","OPA3","Conflicting classifications of pathogenicity","Optic atrophy 3|3-Methylglutaconic aciduria type 3"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45550818,45550818,"single nucleotide variant","OPA3","Benign/Likely benign","3-Methylglutaconic aciduria type 3|Optic atrophy 3|not provided"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45551045,45551045,"single nucleotide variant","OPA3","Benign/Likely benign","3-Methylglutaconic aciduria type 3|Optic atrophy 3|not provided"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45551506,45551506,"single nucleotide variant","OPA3","Conflicting classifications of pathogenicity","3-Methylglutaconic aciduria type 3|Optic atrophy 3"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45551754,45551754,"single nucleotide variant","OPA3","Benign/Likely benign","Optic atrophy 3|3-Methylglutaconic aciduria type 3|not provided"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45552276,45552276,"single nucleotide variant","OPA3","Conflicting classifications of pathogenicity","3-Methylglutaconic aciduria type 3|Optic atrophy 3"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45552419,45552419,"single nucleotide variant","OPA3","Conflicting classifications of pathogenicity","3-Methylglutaconic aciduria type 3|Optic atrophy 3"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45553116,45553116,"single nucleotide variant","OPA3","Conflicting classifications of pathogenicity","Optic atrophy 3|3-Methylglutaconic aciduria type 3"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45553434,45553434,"single nucleotide variant","OPA3","Conflicting classifications of pathogenicity","Optic atrophy 3|3-Methylglutaconic aciduria type 3"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45553610,45553610,"single nucleotide variant","OPA3","Conflicting classifications of pathogenicity","3-Methylglutaconic aciduria type 3|Optic atrophy 3|Optic atrophy 3;3-Methylglutaconic aciduria type 3"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45553515,45553515,"single nucleotide variant","OPA3","Likely pathogenic","3-Methylglutaconic aciduria type 3"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45553517,45553517,"single nucleotide variant","OPA3","Benign/Likely benign","not specified|3-Methylglutaconic aciduria type 3;Optic atrophy 3|not provided"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45553576,45553576,"single nucleotide variant","OPA3","Conflicting classifications of pathogenicity","not provided|OPA3-related disorder|Optic atrophy 3;3-Methylglutaconic aciduria type 3"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45553800,45553800,"single nucleotide variant","OPA3","Conflicting classifications of pathogenicity","3-Methylglutaconic aciduria type 3|3-Methylglutaconic aciduria type 3;Optic atrophy 3"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45546496,45546496,"single nucleotide variant","OPA3","Conflicting classifications of pathogenicity","Optic atrophy 3|3-Methylglutaconic aciduria type 3"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45546888,45546888,"single nucleotide variant","OPA3","Conflicting classifications of pathogenicity","3-Methylglutaconic aciduria type 3|Optic atrophy 3"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45546960,45546960,"single nucleotide variant","OPA3","Conflicting classifications of pathogenicity","Optic atrophy 3|3-Methylglutaconic aciduria type 3"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45547413,45547413,"single nucleotide variant","OPA3","Conflicting classifications of pathogenicity","3-Methylglutaconic aciduria type 3|Optic atrophy 3|not provided"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45547591,45547591,"single nucleotide variant","OPA3","Conflicting classifications of pathogenicity","3-Methylglutaconic aciduria type 3|Optic atrophy 3"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45547949,45547949,"single nucleotide variant","OPA3","Conflicting classifications of pathogenicity","3-Methylglutaconic aciduria type 3|Optic atrophy 3"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45548237,45548237,"single nucleotide variant","OPA3","Conflicting classifications of pathogenicity","Optic atrophy 3|3-Methylglutaconic aciduria type 3"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45550072,45550072,"single nucleotide variant","OPA3","Conflicting classifications of pathogenicity","3-Methylglutaconic aciduria type 3|Optic atrophy 3"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45550386,45550386,"single nucleotide variant","OPA3","Conflicting classifications of pathogenicity","3-Methylglutaconic aciduria type 3|Optic atrophy 3"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45551753,45551753,"single nucleotide variant","OPA3","Conflicting classifications of pathogenicity","3-Methylglutaconic aciduria type 3|Optic atrophy 3"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45552462,45552462,"single nucleotide variant","OPA3","Conflicting classifications of pathogenicity","Optic atrophy 3|3-Methylglutaconic aciduria type 3"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45552816,45552816,"single nucleotide variant","OPA3","Conflicting classifications of pathogenicity","Optic atrophy 3|3-Methylglutaconic aciduria type 3"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45552974,45552974,"single nucleotide variant","OPA3","Conflicting classifications of pathogenicity","Optic atrophy 3|3-Methylglutaconic aciduria type 3"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45553848,45553848,"single nucleotide variant","OPA3","Conflicting classifications of pathogenicity","3-Methylglutaconic aciduria type 3;Optic atrophy 3|Achromatopsia"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45553902,45553902,"single nucleotide variant","OPA3","Likely pathogenic","3-Methylglutaconic aciduria type 3;Optic atrophy 3"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45553810,45553810,"single nucleotide variant","OPA3","Conflicting classifications of pathogenicity","3-Methylglutaconic aciduria type 3;Optic atrophy 3"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45553837,45553837,"single nucleotide variant","OPA3","Likely pathogenic","3-Methylglutaconic aciduria type 3"
"ENSG00000125741","ENST00000263275","19",45546281,45553911,45553741,45553741,"single nucleotide variant","OPA3","Conflicting classifications of pathogenicity","3-Methylglutaconic aciduria type 3|3-Methylglutaconic aciduria type 3;Optic atrophy 3"
"ENSG00000125741","ENST00000323060","19",45527767,45529456,45529415,45529415,"single nucleotide variant","OPA3","Conflicting classifications of pathogenicity","3-Methylglutaconic aciduria type 3|3-Methylglutaconic aciduria type 3;Optic atrophy 3|not provided"
"ENSG00000125741","ENST00000323060","19",45527767,45529456,45529163,45529163,"single nucleotide variant","OPA3","Conflicting classifications of pathogenicity","3-Methylglutaconic aciduria type 3|3-Methylglutaconic aciduria type 3;Optic atrophy 3"
