"seqnames","start","end","width","strand","source","type","score","phase","gene_id","gene_type","gene_name","level","tag","transcript_id","transcript_type","transcript_name","exon_number","exon_id","transcript_support_level","havana_transcript","hgnc_id","havana_gene","ont","protein_id","ccdsid","artif_dupl"
"chr1",1512175,1534685,22511,"+","HAVANA","transcript",NA,NA,"ENSG00000197785.14","protein_coding","ATAD3A","2","CCDS","ENST00000378755.9","protein_coding","ATAD3A-202",NA,NA,"2","OTTHUMT00000001365.1","HGNC:25567","OTTHUMG00000000575.7",NA,"ENSP00000368030.5","CCDS31.1",NA
"chr1",1512530,1534685,22156,"+","HAVANA","transcript",NA,NA,"ENSG00000197785.14","protein_coding","ATAD3A","2","CCDS","ENST00000536055.6","protein_coding","ATAD3A-207",NA,NA,"2","OTTHUMT00000001364.2","HGNC:25567","OTTHUMG00000000575.7",NA,"ENSP00000439290.1","CCDS53260.1",NA
"chr1",6264269,6393361,129093,"-","HAVANA","transcript",NA,NA,"ENSG00000097021.21","protein_coding","ACOT7","2","appris_alternative_1","ENST00000608083.5","protein_coding","ACOT7-209",NA,NA,"1","OTTHUMT00000473098.1","HGNC:24157","OTTHUMG00000001295.8",NA,"ENSP00000476610.1",NA,NA
"chr1",6264272,6393767,129496,"-","HAVANA","transcript",NA,NA,"ENSG00000097021.21","protein_coding","ACOT7","2","CCDS","ENST00000361521.9","protein_coding","ACOT7-201",NA,NA,"1","OTTHUMT00000003778.2","HGNC:24157","OTTHUMG00000001295.8",NA,"ENSP00000354615.4","CCDS30573.1",NA
"chr1",6264273,6359344,95072,"-","HAVANA","transcript",NA,NA,"ENSG00000097021.21","protein_coding","ACOT7","2","CCDS","ENST00000377842.7","protein_coding","ACOT7-202",NA,NA,"1","OTTHUMT00000003777.2","HGNC:24157","OTTHUMG00000001295.8",NA,"ENSP00000367073.3","CCDS67.1",NA
"chr1",6264273,6360707,96435,"-","HAVANA","transcript",NA,NA,"ENSG00000097021.21","protein_coding","ACOT7","2","CCDS","ENST00000377845.7","protein_coding","ACOT7-203",NA,NA,"1","OTTHUMT00000003776.1","HGNC:24157","OTTHUMG00000001295.8",NA,"ENSP00000367076.3","CCDS66.1",NA
"chr1",6264273,6385813,121541,"-","HAVANA","transcript",NA,NA,"ENSG00000097021.21","protein_coding","ACOT7","2","CCDS","ENST00000377855.6","protein_coding","ACOT7-204",NA,NA,"1","OTTHUMT00000003773.1","HGNC:24157","OTTHUMG00000001295.8",NA,"ENSP00000367086.2","CCDS65.1",NA
"chr1",6634168,6681037,46870,"-","HAVANA","transcript",NA,NA,"ENSG00000007923.17","protein_coding","DNAJC11","2","cds_start_NF","ENST00000451196.5","protein_coding","DNAJC11-204",NA,NA,"1","OTTHUMT00000004218.1","HGNC:25570","OTTHUMG00000001443.6",NA,"ENSP00000415871.1",NA,NA
"chr1",6634170,6701816,67647,"-","HAVANA","transcript",NA,NA,"ENSG00000007923.17","protein_coding","DNAJC11","2","CCDS","ENST00000377577.10","protein_coding","DNAJC11-202",NA,NA,"1","OTTHUMT00000004216.4","HGNC:25570","OTTHUMG00000001443.6",NA,"ENSP00000366800.5","CCDS87.1",NA
"chr1",6635113,6701924,66812,"-","HAVANA","transcript",NA,NA,"ENSG00000007923.17","protein_coding","DNAJC11","2","basic","ENST00000294401.11","protein_coding","DNAJC11-201",NA,NA,"1","OTTHUMT00000004217.3","HGNC:25570","OTTHUMG00000001443.6",NA,"ENSP00000294401.7",NA,NA
"chr1",7961692,7985505,23814,"+","HAVANA","transcript",NA,NA,"ENSG00000116288.13","protein_coding","PARK7","2","CCDS","ENST00000493678.5","protein_coding","PARK7-209",NA,NA,"1","OTTHUMT00000003577.1","HGNC:16369","OTTHUMG00000001210.4",NA,"ENSP00000418770.1","CCDS93.1",NA
"chr1",7961701,7985281,23581,"+","HAVANA","transcript",NA,NA,"ENSG00000116288.13","protein_coding","PARK7","2","basic","ENST00000377493.9","protein_coding","PARK7-204",NA,NA,"2","OTTHUMT00000003579.2","HGNC:16369","OTTHUMG00000001210.4",NA,"ENSP00000466242.1",NA,NA
"chr1",7961711,7985505,23795,"+","HAVANA","transcript",NA,NA,"ENSG00000116288.13","protein_coding","PARK7","2","CCDS","ENST00000338639.10","protein_coding","PARK7-201",NA,NA,"1","OTTHUMT00000003578.2","HGNC:16369","OTTHUMG00000001210.4",NA,"ENSP00000340278.5","CCDS93.1",NA
"chr1",9539465,9585173,45709,"+","HAVANA","transcript",NA,NA,"ENSG00000171612.7","protein_coding","SLC25A33","2","CCDS","ENST00000302692.7","protein_coding","SLC25A33-201",NA,NA,"1","OTTHUMT00000003851.3","HGNC:29681","OTTHUMG00000001322.3",NA,"ENSP00000306328.5","CCDS103.1",NA
"chr1",11980181,12013514,33334,"+","HAVANA","transcript",NA,NA,"ENSG00000116688.18","protein_coding","MFN2","2","CCDS","ENST00000444836.5","protein_coding","MFN2-203",NA,NA,"2",NA,"HGNC:16877","OTTHUMG00000002392.8",NA,"ENSP00000416338.1","CCDS30587.1",NA
"chr1",11980444,12013508,33065,"+","HAVANA","transcript",NA,NA,"ENSG00000116688.18","protein_coding","MFN2","2","CCDS","ENST00000235329.10","protein_coding","MFN2-201",NA,NA,"1","OTTHUMT00000006859.3","HGNC:16877","OTTHUMG00000002392.8",NA,"ENSP00000235329.5","CCDS30587.1",NA
"chr1",12230030,12512047,282018,"+","HAVANA","transcript",NA,NA,"ENSG00000048707.15","protein_coding","VPS13D","2","CCDS","ENST00000620676.6","protein_coding","VPS13D-214",NA,NA,"1","OTTHUMT00000036897.6","HGNC:23595","OTTHUMG00000013155.8",NA,"ENSP00000478104.1","CCDS30588.1",NA
"chr1",12230067,12512047,281981,"+","HAVANA","transcript",NA,NA,"ENSG00000048707.15","protein_coding","VPS13D","2","CCDS","ENST00000613099.4","protein_coding","VPS13D-213",NA,NA,"1","OTTHUMT00000036899.4","HGNC:23595","OTTHUMG00000013155.8",NA,"ENSP00000482233.1","CCDS30589.1",NA
"chr1",12277121,12510361,233241,"+","HAVANA","transcript",NA,NA,"ENSG00000048707.15","protein_coding","VPS13D","2","NAGNAG_splice_site","ENST00000011700.10","protein_coding","VPS13D-201",NA,NA,"1","OTTHUMT00000354898.1","HGNC:23595","OTTHUMG00000013155.8",NA,"ENSP00000011700.6",NA,NA
"chr1",12464940,12512047,47108,"+","HAVANA","transcript",NA,NA,"ENSG00000048707.15","protein_coding","VPS13D","2","basic","ENST00000543766.2","protein_coding","VPS13D-212",NA,NA,"2","OTTHUMT00000036902.3","HGNC:23595","OTTHUMG00000013155.8",NA,"ENSP00000441122.2",NA,NA
"chr1",15491401,15524215,32815,"-","HAVANA","transcript",NA,NA,"ENSG00000132906.18","protein_coding","CASP9","2","CCDS","ENST00000333868.10","protein_coding","CASP9-201",NA,NA,"1","OTTHUMT00000006438.2","HGNC:1511","OTTHUMG00000002256.8",NA,"ENSP00000330237.5","CCDS158.1",NA
"chr1",15492270,15524347,32078,"-","HAVANA","transcript",NA,NA,"ENSG00000132906.18","protein_coding","CASP9","2","CCDS","ENST00000348549.9","protein_coding","CASP9-202",NA,NA,"1","OTTHUMT00000006439.2","HGNC:1511","OTTHUMG00000002256.8",NA,"ENSP00000255256.7","CCDS59995.1",NA
"chr1",15492855,15524726,31872,"-","HAVANA","transcript",NA,NA,"ENSG00000132906.18","protein_coding","CASP9","2","CCDS","ENST00000375890.8","protein_coding","CASP9-203",NA,NA,"2","OTTHUMT00000407261.1","HGNC:1511","OTTHUMG00000002256.8",NA,"ENSP00000365051.4","CCDS159.2",NA
"chr1",15571699,15585051,13353,"-","HAVANA","transcript",NA,NA,"ENSG00000116771.6","protein_coding","AGMAT","2","CCDS","ENST00000375826.4","protein_coding","AGMAT-201",NA,NA,"1","OTTHUMT00000006763.2","HGNC:18407","OTTHUMG00000002357.2",NA,"ENSP00000364986.3","CCDS160.1",NA
"chr1",15736258,15741392,5135,"+","HAVANA","transcript",NA,NA,"ENSG00000162461.8","protein_coding","SLC25A34","2","CCDS","ENST00000294454.6","protein_coding","SLC25A34-201",NA,NA,"1","OTTHUMT00000008467.2","HGNC:27653","OTTHUMG00000003063.2",NA,"ENSP00000294454.5","CCDS162.1",NA
"chr1",17018722,17054032,35311,"-","HAVANA","transcript",NA,NA,"ENSG00000117118.12","protein_coding","SDHB","2","CCDS","ENST00000375499.8","protein_coding","SDHB-201",NA,NA,"1","OTTHUMT00000006603.2","HGNC:10681","OTTHUMG00000002289.4",NA,"ENSP00000364649.3","CCDS176.1",NA
"chr1",18871430,18902553,31124,"-","HAVANA","transcript",NA,NA,"ENSG00000159423.17","protein_coding","ALDH4A1","2","CCDS","ENST00000290597.9","protein_coding","ALDH4A1-201",NA,NA,"1","OTTHUMT00000006955.2","HGNC:406","OTTHUMG00000002443.7",NA,"ENSP00000290597.5","CCDS188.1",NA
"chr1",18871430,18902555,31126,"-","HAVANA","transcript",NA,NA,"ENSG00000159423.17","protein_coding","ALDH4A1","2","CCDS","ENST00000375341.8","protein_coding","ALDH4A1-202",NA,NA,"1","OTTHUMT00000006954.2","HGNC:406","OTTHUMG00000002443.7",NA,"ENSP00000364490.3","CCDS188.1",NA
"chr1",18871432,18902528,31097,"-","HAVANA","transcript",NA,NA,"ENSG00000159423.17","protein_coding","ALDH4A1","2","CCDS","ENST00000538839.5","protein_coding","ALDH4A1-206",NA,NA,"1",NA,"HGNC:406","OTTHUMG00000002443.7",NA,"ENSP00000446071.1","CCDS81273.1",NA
"chr1",18872733,18890891,18159,"-","HAVANA","transcript",NA,NA,"ENSG00000159423.17","protein_coding","ALDH4A1","2","CCDS","ENST00000538309.5","protein_coding","ALDH4A1-205",NA,NA,"2","OTTHUMT00000476515.1","HGNC:406","OTTHUMG00000002443.7",NA,"ENSP00000442988.1","CCDS53272.1",NA
"chr1",19301991,19312124,10134,"-","HAVANA","transcript",NA,NA,"ENSG00000053371.14","protein_coding","AKR7A2","2","GENCODE_Primary","ENST00000330072.10","protein_coding","AKR7A2-202",NA,NA,"2","OTTHUMT00000355679.1","HGNC:389","OTTHUMG00000002522.2",NA,"ENSP00000339084.5",NA,NA
"chr1",19303965,19312144,8180,"-","HAVANA","transcript",NA,NA,"ENSG00000053371.14","protein_coding","AKR7A2","2","CCDS","ENST00000235835.8","protein_coding","AKR7A2-201",NA,NA,"1","OTTHUMT00000007165.2","HGNC:389","OTTHUMG00000002522.2",NA,"ENSP00000235835.3","CCDS194.1",NA
"chr1",19596977,19629821,32845,"+","ENSEMBL","transcript",NA,NA,"ENSG00000173436.15","protein_coding","MICOS10","3","CCDS","ENST00000617872.4","protein_coding","MICOS10-210",NA,NA,"2",NA,"HGNC:32068","OTTHUMG00000002712.4",NA,"ENSP00000478278.1","CCDS72719.1",NA
"chr1",19596979,19629820,32842,"+","HAVANA","transcript",NA,NA,"ENSG00000173436.15","protein_coding","MICOS10","2","CCDS","ENST00000322753.7","protein_coding","MICOS10-201",NA,NA,"1","OTTHUMT00000007697.4","HGNC:32068","OTTHUMG00000002712.4",NA,"ENSP00000325562.6","CCDS30620.1",NA
"chr1",20499448,20508151,8704,"-","HAVANA","transcript",NA,NA,"ENSG00000090432.7","protein_coding","MUL1","2","CCDS","ENST00000264198.5","protein_coding","MUL1-201",NA,NA,"1","OTTHUMT00000007951.3","HGNC:25762","OTTHUMG00000002838.3",NA,"ENSP00000264198.3","CCDS208.1",NA
"chr1",20633458,20651511,18054,"+","HAVANA","transcript",NA,NA,"ENSG00000158828.8","protein_coding","PINK1","2","CCDS","ENST00000321556.5","protein_coding","PINK1-201",NA,NA,"1","OTTHUMT00000007954.2","HGNC:14581","OTTHUMG00000002841.2",NA,"ENSP00000364204.3","CCDS211.1",NA
"chr1",23801885,23825429,23545,"-","HAVANA","transcript",NA,NA,"ENSG00000117305.15","protein_coding","HMGCL","2","CCDS","ENST00000374490.8","protein_coding","HMGCL-203",NA,NA,"1","OTTHUMT00000008253.3","HGNC:5005","OTTHUMG00000002963.5",NA,"ENSP00000363614.3","CCDS243.1",NA
"chr1",23801887,23825428,23542,"-","HAVANA","transcript",NA,NA,"ENSG00000117305.15","protein_coding","HMGCL","2","CCDS","ENST00000436439.6","protein_coding","HMGCL-204",NA,NA,"2","OTTHUMT00000372570.1","HGNC:5005","OTTHUMG00000002963.5",NA,"ENSP00000389281.2","CCDS53279.1",NA
"chr1",25819929,25832942,13014,"+","HAVANA","transcript",NA,NA,"ENSG00000117640.18","protein_coding","MTFR1L","2","CCDS","ENST00000474295.5","protein_coding","MTFR1L-210",NA,NA,"1","OTTHUMT00000019320.3","HGNC:28836","OTTHUMG00000007377.8",NA,"ENSP00000435461.1","CCDS44089.1",NA
"chr1",25819954,25832938,12985,"+","HAVANA","transcript",NA,NA,"ENSG00000117640.18","protein_coding","MTFR1L","2","CCDS","ENST00000374303.7","protein_coding","MTFR1L-203",NA,NA,"1","OTTHUMT00000504272.2","HGNC:28836","OTTHUMG00000007377.8",NA,"ENSP00000363421.2","CCDS41284.1",NA
"chr1",25819986,25832211,12226,"+","HAVANA","transcript",NA,NA,"ENSG00000117640.18","protein_coding","MTFR1L","2","GENCODE_Primary","ENST00000524618.5","protein_coding","MTFR1L-215",NA,NA,"2","OTTHUMT00000019329.2","HGNC:28836","OTTHUMG00000007377.8",NA,"ENSP00000435193.1",NA,NA
"chr1",25820003,25832938,12936,"+","HAVANA","transcript",NA,NA,"ENSG00000117640.18","protein_coding","MTFR1L","2","GENCODE_Primary","ENST00000374307.9","protein_coding","MTFR1L-204",NA,NA,"2","OTTHUMT00000019321.1","HGNC:28836","OTTHUMG00000007377.8",NA,"ENSP00000363426.5",NA,NA
"chr1",25820193,25832938,12746,"+","HAVANA","transcript",NA,NA,"ENSG00000117640.18","protein_coding","MTFR1L","2","CCDS","ENST00000374301.7","protein_coding","MTFR1L-202",NA,NA,"1","OTTHUMT00000019319.1","HGNC:28836","OTTHUMG00000007377.8",NA,"ENSP00000363419.3","CCDS41284.1",NA
"chr1",25820828,25832938,12111,"+","HAVANA","transcript",NA,NA,"ENSG00000117640.18","protein_coding","MTFR1L","2","CCDS","ENST00000374300.7","protein_coding","MTFR1L-201",NA,NA,"1","OTTHUMT00000019322.1","HGNC:28836","OTTHUMG00000007377.8",NA,"ENSP00000363418.3","CCDS41284.1",NA
"chr1",25821523,25832936,11414,"+","HAVANA","transcript",NA,NA,"ENSG00000117640.18","protein_coding","MTFR1L","2","CCDS","ENST00000466284.1","protein_coding","MTFR1L-207",NA,NA,"2","OTTHUMT00000019323.2","HGNC:28836","OTTHUMG00000007377.8",NA,"ENSP00000434751.1","CCDS44089.1",NA
"chr1",28236109,28238105,1997,"+","HAVANA","transcript",NA,NA,"ENSG00000130770.18","protein_coding","ATP5IF1","2","CCDS","ENST00000497986.5","protein_coding","ATP5IF1-204",NA,NA,"2","OTTHUMT00000009843.2","HGNC:871","OTTHUMG00000003533.3",NA,"ENSP00000435579.1","CCDS320.1",NA
"chr1",28236124,28238100,1977,"+","HAVANA","transcript",NA,NA,"ENSG00000130770.18","protein_coding","ATP5IF1","2","CCDS","ENST00000335514.10","protein_coding","ATP5IF1-201",NA,NA,"1","OTTHUMT00000009841.2","HGNC:871","OTTHUMG00000003533.3",NA,"ENSP00000335203.5","CCDS319.1",NA
"chr1",28236142,28246906,10765,"+","HAVANA","transcript",NA,NA,"ENSG00000130770.18","protein_coding","ATP5IF1","1","exp_conf","ENST00000468425.2","protein_coding","ATP5IF1-203",NA,NA,"2","OTTHUMT00000009844.2","HGNC:871","OTTHUMG00000003533.3",NA,"ENSP00000435341.1",NA,NA
"chr1",28236154,28238098,1945,"+","HAVANA","transcript",NA,NA,"ENSG00000130770.18","protein_coding","ATP5IF1","2","CCDS","ENST00000465645.1","protein_coding","ATP5IF1-202",NA,NA,"1","OTTHUMT00000009842.2","HGNC:871","OTTHUMG00000003533.3",NA,"ENSP00000437337.1","CCDS44096.1",NA
"chr1",29192657,29230934,38278,"-","HAVANA","transcript",NA,NA,"ENSG00000116353.16","protein_coding","MECR","2","CCDS","ENST00000263702.11","protein_coding","MECR-201",NA,NA,"1","OTTHUMT00000130740.2","HGNC:19691","OTTHUMG00000059082.5",NA,"ENSP00000263702.6","CCDS30659.1",NA
"chr1",29192873,29230924,38052,"-","HAVANA","transcript",NA,NA,"ENSG00000116353.16","protein_coding","MECR","2","CCDS","ENST00000373791.7","protein_coding","MECR-202",NA,NA,"2","OTTHUMT00000130741.1","HGNC:19691","OTTHUMG00000059082.5",NA,"ENSP00000362896.3","CCDS30660.1",NA
"chr1",33007986,33036883,28898,"-","HAVANA","transcript",NA,NA,"ENSG00000004455.18","protein_coding","AK2","2","CCDS","ENST00000373449.7","protein_coding","AK2-202",NA,NA,"1","OTTHUMT00000011884.2","HGNC:362","OTTHUMG00000004131.7",NA,"ENSP00000362548.2","CCDS373.1",NA
"chr1",33008892,33037004,28113,"-","HAVANA","transcript",NA,NA,"ENSG00000004455.18","protein_coding","AK2","2","GENCODE_Primary","ENST00000354858.11","protein_coding","AK2-201",NA,NA,"1","OTTHUMT00000529335.1","HGNC:362","OTTHUMG00000004131.7",NA,"ENSP00000346921.7",NA,NA
"chr1",33010478,33036840,26363,"-","HAVANA","transcript",NA,NA,"ENSG00000004455.18","protein_coding","AK2","2","CCDS","ENST00000548033.5","protein_coding","AK2-209",NA,NA,"1","OTTHUMT00000404009.1","HGNC:362","OTTHUMG00000004131.7",NA,"ENSP00000449003.1","CCDS81294.1",NA
"chr1",33010755,33036886,26132,"-","HAVANA","transcript",NA,NA,"ENSG00000004455.18","protein_coding","AK2","2","CCDS","ENST00000467905.5","protein_coding","AK2-204",NA,NA,"2","OTTHUMT00000011885.5","HGNC:362","OTTHUMG00000004131.7",NA,"ENSP00000447082.1","CCDS81296.1",NA
"chr1",33013044,33036877,23834,"-","HAVANA","transcript",NA,NA,"ENSG00000004455.18","protein_coding","AK2","2","CCDS","ENST00000480134.5","protein_coding","AK2-206",NA,NA,"2","OTTHUMT00000092189.4","HGNC:362","OTTHUMG00000004131.7",NA,"ENSP00000450109.1","CCDS81295.1",NA
"chr1",33019683,33036844,17162,"-","HAVANA","transcript",NA,NA,"ENSG00000004455.18","protein_coding","AK2","1","exp_conf","ENST00000487289.1","protein_coding","AK2-207",NA,NA,"2","OTTHUMT00000011889.4","HGNC:362","OTTHUMG00000004131.7",NA,"ENSP00000446849.1",NA,NA
"chr1",36455718,36464384,8667,"-","HAVANA","transcript",NA,NA,"ENSG00000116898.12","protein_coding","MRPS15","2","CCDS","ENST00000373116.6","protein_coding","MRPS15-201",NA,NA,"1","OTTHUMT00000022052.3","HGNC:14504","OTTHUMG00000008042.5",NA,"ENSP00000362208.5","CCDS411.1",NA
"chr1",37802945,37808208,5264,"-","HAVANA","transcript",NA,NA,"ENSG00000196449.4","protein_coding","YRDC","2","CCDS","ENST00000373044.3","protein_coding","YRDC-201",NA,NA,"1","OTTHUMT00000012470.2","HGNC:28905","OTTHUMG00000004318.2",NA,"ENSP00000362135.2","CCDS30675.1",NA
"chr1",39026318,39034636,8319,"+","HAVANA","transcript",NA,NA,"ENSG00000168653.11","protein_coding","NDUFS5","2","CCDS","ENST00000372967.3","protein_coding","NDUFS5-201",NA,NA,"1","OTTHUMT00000019689.1","HGNC:7712","OTTHUMG00000007497.2",NA,"ENSP00000362058.3","CCDS434.1",NA
"chr1",39026350,39034615,8266,"+","HAVANA","transcript",NA,NA,"ENSG00000168653.11","protein_coding","NDUFS5","2","CCDS","ENST00000372969.8","protein_coding","NDUFS5-202",NA,NA,"1","OTTHUMT00000019688.2","HGNC:7712","OTTHUMG00000007497.2",NA,"ENSP00000362060.3","CCDS434.1",NA
"chr1",39838110,39883504,45395,"-","HAVANA","transcript",NA,NA,"ENSG00000043514.17","protein_coding","TRIT1","2","CCDS","ENST00000316891.10","protein_coding","TRIT1-201",NA,NA,"1","OTTHUMT00000025627.3","HGNC:20286","OTTHUMG00000009245.6",NA,"ENSP00000321810.5","CCDS30681.1",NA
"chr1",39841051,39883491,42441,"-","HAVANA","transcript",NA,NA,"ENSG00000043514.17","protein_coding","TRIT1","2","CCDS","ENST00000441669.6","protein_coding","TRIT1-203",NA,NA,"1","OTTHUMT00000025629.2","HGNC:20286","OTTHUMG00000009245.6",NA,"ENSP00000388333.2","CCDS81302.1",NA
"chr1",39841051,39883506,42456,"-","HAVANA","transcript",NA,NA,"ENSG00000043514.17","protein_coding","TRIT1","2","CCDS","ENST00000372818.5","protein_coding","TRIT1-202",NA,NA,"1","OTTHUMT00000025628.2","HGNC:20286","OTTHUMG00000009245.6",NA,"ENSP00000361905.1","CCDS81303.1",NA
"chr1",39841714,39883434,41721,"-","ENSEMBL","transcript",NA,NA,"ENSG00000043514.17","protein_coding","TRIT1","3","GENCODE_Primary","ENST00000541099.5","protein_coding","TRIT1-215",NA,NA,"1",NA,"HGNC:20286","OTTHUMG00000009245.6",NA,"ENSP00000437896.1",NA,NA
"chr1",45329163,45340447,11285,"-","HAVANA","transcript",NA,NA,"ENSG00000132781.22","protein_coding","MUTYH","2","GENCODE_Primary","ENST00000529984.5","protein_coding","MUTYH-236",NA,NA,"2","OTTHUMT00000386824.1","HGNC:7527","OTTHUMG00000007682.11",NA,"ENSP00000437093.1",NA,NA
"chr1",45329242,45339935,10694,"-","HAVANA","transcript",NA,NA,"ENSG00000132781.22","protein_coding","MUTYH","2","CCDS","ENST00000372104.5","protein_coding","MUTYH-204",NA,NA,"1","OTTHUMT00000020531.1","HGNC:7527","OTTHUMG00000007682.11",NA,"ENSP00000361176.1","CCDS41322.1",NA
"chr1",45329242,45339935,10694,"-","HAVANA","transcript",NA,NA,"ENSG00000132781.22","protein_coding","MUTYH","2","CCDS","ENST00000448481.5","protein_coding","MUTYH-209",NA,NA,"1","OTTHUMT00000020533.3","HGNC:7527","OTTHUMG00000007682.11",NA,"ENSP00000409718.1","CCDS72776.1",NA
"chr1",45329242,45339970,10729,"-","HAVANA","transcript",NA,NA,"ENSG00000132781.22","protein_coding","MUTYH","2","CCDS","ENST00000456914.7","protein_coding","MUTYH-211",NA,NA,"1","OTTHUMT00000020532.2","HGNC:7527","OTTHUMG00000007682.11",NA,"ENSP00000407590.2","CCDS41322.1",NA
"chr1",45329242,45340080,10839,"-","HAVANA","transcript",NA,NA,"ENSG00000132781.22","protein_coding","MUTYH","2","CCDS","ENST00000354383.10","protein_coding","MUTYH-201",NA,NA,"1","OTTHUMT00000020534.1","HGNC:7527","OTTHUMG00000007682.11",NA,"ENSP00000346354.6","CCDS41321.1",NA
"chr1",45329242,45340115,10874,"-","HAVANA","transcript",NA,NA,"ENSG00000132781.22","protein_coding","MUTYH","2","CCDS","ENST00000355498.6","protein_coding","MUTYH-202",NA,NA,"1","OTTHUMT00000020535.1","HGNC:7527","OTTHUMG00000007682.11",NA,"ENSP00000347685.2","CCDS41322.1",NA
"chr1",45329242,45340388,11147,"-","HAVANA","transcript",NA,NA,"ENSG00000132781.22","protein_coding","MUTYH","2","CCDS","ENST00000372098.7","protein_coding","MUTYH-203",NA,NA,"1","OTTHUMT00000529805.1","HGNC:7527","OTTHUMG00000007682.11",NA,"ENSP00000361170.3","CCDS520.1",NA
"chr1",45329242,45340388,11147,"-","HAVANA","transcript",NA,NA,"ENSG00000132781.22","protein_coding","MUTYH","2","CCDS","ENST00000372110.7","protein_coding","MUTYH-205",NA,NA,"1","OTTHUMT00000020537.1","HGNC:7527","OTTHUMG00000007682.11",NA,"ENSP00000361182.3","CCDS72777.1",NA
"chr1",45329242,45340470,11229,"-","HAVANA","transcript",NA,NA,"ENSG00000132781.22","protein_coding","MUTYH","2","basic","ENST00000372115.7","protein_coding","MUTYH-206",NA,NA,"1","OTTHUMT00000020528.1","HGNC:7527","OTTHUMG00000007682.11",NA,"ENSP00000361187.3",NA,NA
"chr1",46303698,46316776,13079,"+","HAVANA","transcript",NA,NA,"ENSG00000173660.12","protein_coding","UQCRH","2","CCDS","ENST00000311672.10","protein_coding","UQCRH-201",NA,NA,"1","OTTHUMT00000021451.2","HGNC:12590","OTTHUMG00000007813.4",NA,"ENSP00000309565.5","CCDS30704.1",NA
